nct_id,gender,part_cnt,part_pct
NCT04385238,Female,6894,1
NCT04385238,Male,0,0
NCT04411667,Female,13,0.3939393939393939
NCT04411667,Male,20,0.6060606060606061
NCT04399980,Female,14,0.35
NCT04399980,Male,26,0.65
NCT04348500,Female,6,0.375
NCT04348500,Male,10,0.625
NCT04332991,Female,212,0.44258872651356995
NCT04332991,Male,267,0.55741127348643
NCT04363736,Female,40,0.41237113402061853
NCT04363736,Male,57,0.5876288659793815
NCT04380688,Female,22,0.3548387096774194
NCT04380688,Male,40,0.6451612903225806
NCT04332081,Female,7,0.0875
NCT04332081,Male,73,0.9125
NCT04432272,Female,18,0.3333333333333333
NCT04432272,Male,36,0.6666666666666666
NCT04328467,Female,760,0.5124747134187457
NCT04328467,Male,723,0.4875252865812542
NCT04421404,Female,19,0.5588235294117647
NCT04421404,Male,15,0.4411764705882353
NCT04524507,Female,20,0.35714285714285715
NCT04524507,Male,36,0.6428571428571429
NCT04354870,Female,28,0.5714285714285714
NCT04354870,Male,21,0.42857142857142855
NCT04411628,Female,7,0.2916666666666667
NCT04411628,Male,17,0.7083333333333334
NCT04315298,Female,617,0.3315421816227834
NCT04315298,Male,1244,0.6684578183772165
NCT04706416,Female,62,0.4189189189189189
NCT04706416,Male,86,0.581081081081081
NCT04347954,Female,18,0.5142857142857142
NCT04347954,Male,17,0.4857142857142857
NCT04335552,Female,3,0.2727272727272727
NCT04335552,Male,8,0.7272727272727273
NCT04351243,Female,71,0.31555555555555553
NCT04351243,Male,154,0.6844444444444444
NCT04358081,Female,7,0.3684210526315789
NCT04358081,Male,12,0.631578947368421
NCT04431908,Female,815,0.6174242424242424
NCT04431908,Male,505,0.38257575757575757
NCT04342663,Female,109,0.7171052631578947
NCT04342663,Male,43,0.28289473684210525
NCT04435184,Female,18,0.42857142857142855
NCT04435184,Male,24,0.5714285714285714
NCT04912700,Female,6244,0.527632246070644
NCT04912700,Male,5590,0.4723677539293561
NCT04329923,Female,113,0.653179190751445
NCT04329923,Male,60,0.3468208092485549
NCT04401293,Male,136,0.5375494071146245
NCT04401293,Female,117,0.4624505928853755
NCT04317040,Female,89,0.3803418803418803
NCT04317040,Male,145,0.6196581196581197
NCT04374149,Female,8,0.4
NCT04374149,Male,12,0.6
NCT04732819,Female,4637,0.6233364699556392
NCT04732819,Male,2802,0.3766635300443608
NCT04365699,Female,15,0.18518518518518517
NCT04365699,Male,66,0.8148148148148148
NCT04342897,Female,35,0.3684210526315789
NCT04342897,Male,60,0.631578947368421
NCT04332107,Female,174,0.6692307692307692
NCT04332107,Male,86,0.33076923076923076
NCT04334148,Female,888,0.6534216335540839
NCT04334148,Male,471,0.3465783664459161
NCT04355767,Female,274,0.5362035225048923
NCT04355767,Male,237,0.4637964774951076
NCT04355728,Female,11,0.4583333333333333
NCT04355728,Male,13,0.5416666666666666
NCT04331899,Female,50,0.4166666666666667
NCT04331899,Male,70,0.5833333333333334
NCT04381988,Female,3,0.75
NCT04381988,Male,1,0.25
NCT04344535,Female,30,0.40540540540540543
NCT04344535,Male,44,0.5945945945945946
NCT04333225,Female,167,0.755656108597285
NCT04333225,Male,54,0.24434389140271492
NCT04340557,Female,12,0.3870967741935484
NCT04340557,Male,19,0.6129032258064516
NCT04463004,Female,1,0.5
NCT04463004,Male,1,0.5
NCT04402970,Female,11,0.36666666666666664
NCT04402970,Male,19,0.6333333333333333
NCT04365153,Female,12,0.26666666666666666
NCT04365153,Male,33,0.7333333333333333
NCT04435808,Female,0,0
NCT04435808,Male,1,1
NCT04372017,Female,0,0
NCT04372017,Male,1,1
NCT04338009,Female,68,0.4473684210526316
NCT04338009,Male,84,0.5526315789473685
NCT04502056,Female,9880,0.5585392051557465
NCT04502056,Male,7809,0.4414607948442535
NCT04338074,Female,3,0.6
NCT04338074,Male,2,0.4
